id,path,a,b,c,root_1,root_2,equation
eqn_0562,quadratic/eqn_0562,9,42,20,-0.5383,-4.1284,42x + 20 = -9x²
eqn_0563,quadratic/eqn_0563,5,6,-6,0.649,-1.849,5x² + 6x - 6 = 0
eqn_0564,quadratic/eqn_0564,1,23,22,22.0,1.0,(x - 22)(x - 1) = 0
eqn_0565,quadratic/eqn_0565,17,23,-31,0.8339,-2.1868,17x² + 23x = 31
eqn_0566,quadratic/eqn_0566,5,10,-6,0.4832,-2.4832,5x² + 10x - 6 = 0
eqn_0567,quadratic/eqn_0567,1,1,-1,0.618,-1.618,x² + x - 1 = 0
eqn_0568,quadratic/eqn_0568,2,4,0,0.0,-2.0,2x² + 4x = 0
eqn_0569,quadratic/eqn_0569,19,1,-57,1.7059,-1.7586,19x² + x = 57
eqn_0570,quadratic/eqn_0570,1,-1,-132,-12.0,11.0,(x + 12)(x - 11) = 0
eqn_0571,quadratic/eqn_0571,12,70,-4,0.0566,-5.8899,70x - 4 = -12x²
eqn_0572,quadratic/eqn_0572,15,-11,-27,1.7575,-1.0242,15x² - 11x = 27
eqn_0573,quadratic/eqn_0573,2,3,-6,1.1375,-2.6375,2x² + 3x - 6 = 0
eqn_0574,quadratic/eqn_0574,3,3,-10,1.393,-2.393,3x² + 3x - 10 = 0
eqn_0575,quadratic/eqn_0575,5,7,-6,0.6,-2.0,5x² + 7x - 6 = 0
eqn_0576,quadratic/eqn_0576,19,21,-19,0.5899,-1.6952,19x² + 21x = 19
eqn_0577,quadratic/eqn_0577,15,-3,-96,2.6318,-2.4318,15x² - 3x = 96
eqn_0578,quadratic/eqn_0578,1,32,240,12.0,20.0,(x - 12)(x - 20) = 0
eqn_0579,quadratic/eqn_0579,12,69,72,-1.3698,-4.3802,69x + 72 = -12x²
eqn_0580,quadratic/eqn_0580,2,-3,-5,2.5,-1.0,2x² - 3x - 5 = 0
eqn_0581,quadratic/eqn_0581,1,5,-10,1.5311,-6.5311,x² + 5x - 10 = 0
eqn_0582,quadratic/eqn_0582,1,-40,175,-5.0,-35.0,(x + 5)(x + 35) = 0
eqn_0583,quadratic/eqn_0583,1,12,-108,-6.0,18.0,(x + 6)(x - 18) = 0
eqn_0584,quadratic/eqn_0584,12,70,48,-0.7937,-5.0396,70x + 48 = -12x²
eqn_0585,quadratic/eqn_0585,12,21,-90,2.0,-3.75,12x² + 21x = 90
eqn_0586,quadratic/eqn_0586,3,73,45,-0.6329,-23.7004,73x + 45 = -3x²
eqn_0587,quadratic/eqn_0587,14,68,7,-0.1052,-4.7519,68x + 7 = -14x²
eqn_0588,quadratic/eqn_0588,1,-12,35,-7.0,-5.0,(x + 7)(x + 5) = 0
eqn_0589,quadratic/eqn_0589,13,10,-72,2.0,-2.7692,13x² + 10x = 72
eqn_0590,quadratic/eqn_0590,1,32,255,17.0,15.0,(x - 17)(x - 15) = 0
eqn_0591,quadratic/eqn_0591,2,10,-10,0.8541,-5.8541,2x² + 10x - 10 = 0
eqn_0592,quadratic/eqn_0592,13,1,-19,1.1711,-1.248,13x² + x = 19
eqn_0593,quadratic/eqn_0593,4,49,30,-0.6463,-11.6037,49x + 30 = -4x²
eqn_0594,quadratic/eqn_0594,1,-6,-112,-14.0,8.0,(x + 14)(x - 8) = 0
eqn_0595,quadratic/eqn_0595,5,4,-1,0.2,-1.0,5x² + 4x - 1 = 0
eqn_0596,quadratic/eqn_0596,16,-10,-46,2.0366,-1.4116,16x² - 10x = 46
eqn_0597,quadratic/eqn_0597,1,29,204,17.0,12.0,(x - 17)(x - 12) = 0
eqn_0598,quadratic/eqn_0598,2,9,-4,0.4075,-4.9075,2x² + 9x - 4 = 0
eqn_0599,quadratic/eqn_0599,7,76,41,-0.5693,-10.2878,76x + 41 = -7x²
eqn_0600,quadratic/eqn_0600,12,-20,-17,2.2863,-0.6196,12x² - 20x = 17
eqn_0601,quadratic/eqn_0601,3,53,56,-1.1287,-16.5379,53x + 56 = -3x²
eqn_0602,quadratic/eqn_0602,4,5,-2,0.3187,-1.5687,4x² + 5x - 2 = 0
eqn_0603,quadratic/eqn_0603,5,-1,-10,1.5177,-1.3177,5x² - x - 10 = 0
eqn_0604,quadratic/eqn_0604,12,-22,-99,3.9317,-2.0983,12x² - 22x = 99
eqn_0605,quadratic/eqn_0605,1,9,-90,-6.0,15.0,(x + 6)(x - 15) = 0
eqn_0606,quadratic/eqn_0606,20,-10,-86,2.3387,-1.8387,20x² - 10x = 86
eqn_0607,quadratic/eqn_0607,1,-9,-792,24.0,-33.0,(x - 24)(x + 33) = 0
eqn_0608,quadratic/eqn_0608,4,2,-9,1.2707,-1.7707,4x² + 2x - 9 = 0
eqn_0609,quadratic/eqn_0609,20,2,-67,1.781,-1.881,20x² + 2x = 67
eqn_0610,quadratic/eqn_0610,5,49,15,-0.3163,-9.4837,49x + 15 = -5x²
eqn_0611,quadratic/eqn_0611,1,36,308,22.0,14.0,(x - 22)(x - 14) = 0
eqn_0612,quadratic/eqn_0612,3,7,-9,0.9217,-3.255,3x² + 7x - 9 = 0
eqn_0613,quadratic/eqn_0613,5,83,26,-0.3194,-16.2806,83x + 26 = -5x²
eqn_0614,quadratic/eqn_0614,1,-22,117,-9.0,-13.0,(x + 9)(x + 13) = 0
eqn_0615,quadratic/eqn_0615,20,6,-75,1.7923,-2.0923,20x² + 6x = 75
eqn_0616,quadratic/eqn_0616,5,6,-7,0.7266,-1.9266,5x² + 6x - 7 = 0
eqn_0617,quadratic/eqn_0617,2,9,-8,0.7604,-5.2604,2x² + 9x - 8 = 0
eqn_0618,quadratic/eqn_0618,4,56,79,-1.5917,-12.4083,56x + 79 = -4x²
eqn_0619,quadratic/eqn_0619,9,39,15,-0.4266,-3.9067,39x + 15 = -9x²
eqn_0620,quadratic/eqn_0620,17,-22,-93,3.0738,-1.7797,17x² - 22x = 93
eqn_0621,quadratic/eqn_0621,6,53,73,-1.7074,-7.126,53x + 73 = -6x²
eqn_0622,quadratic/eqn_0622,12,18,-58,1.5729,-3.0729,12x² + 18x = 58
eqn_0623,quadratic/eqn_0623,1,1,-6,3.0,-2.0,(x - 3)(x + 2) = 0
eqn_0624,quadratic/eqn_0624,2,7,2,-0.3139,-3.1861,2x² + 7x + 2 = 0
eqn_0625,quadratic/eqn_0625,9,91,8,-0.0887,-10.0224,91x + 8 = -9x²
eqn_0626,quadratic/eqn_0626,17,-9,-81,2.4635,-1.9341,17x² - 9x = 81
eqn_0627,quadratic/eqn_0627,10,94,3,-0.032,-9.368,94x + 3 = -10x²
eqn_0628,quadratic/eqn_0628,1,-2,-195,13.0,-15.0,(x - 13)(x + 15) = 0
eqn_0629,quadratic/eqn_0629,9,67,80,-1.4938,-5.9507,67x + 80 = -9x²
eqn_0630,quadratic/eqn_0630,13,95,-4,0.0419,-7.3496,95x - 4 = -13x²
eqn_0631,quadratic/eqn_0631,15,19,5,-0.373,-0.8937,15x² + 19x = -5
eqn_0632,quadratic/eqn_0632,18,-8,-39,1.7109,-1.2664,18x² - 8x = 39
eqn_0633,quadratic/eqn_0633,3,1,-3,0.8471,-1.1805,3x² + x - 3 = 0
eqn_0634,quadratic/eqn_0634,3,7,4,-1.0,-1.3333,3x² + 7x + 4 = 0
eqn_0635,quadratic/eqn_0635,3,26,50,-2.8804,-5.7863,26x + 50 = -3x²
eqn_0636,quadratic/eqn_0636,11,94,78,-0.9313,-7.6142,94x + 78 = -11x²
eqn_0637,quadratic/eqn_0637,1,-22,120,-10.0,-12.0,(x + 10)(x + 12) = 0
eqn_0638,quadratic/eqn_0638,6,70,23,-0.3384,-11.3283,70x + 23 = -6x²
eqn_0639,quadratic/eqn_0639,16,9,-65,1.7538,-2.3163,16x² + 9x = 65
eqn_0640,quadratic/eqn_0640,10,68,13,-0.1969,-6.6031,68x + 13 = -10x²
eqn_0641,quadratic/eqn_0641,15,79,54,-0.8073,-4.4594,79x + 54 = -15x²
eqn_0642,quadratic/eqn_0642,1,-3,2,-2.0,-1.0,(x + 2)(x + 1) = 0
eqn_0643,quadratic/eqn_0643,2,10,1,-0.1021,-4.8979,2x² + 10x + 1 = 0
eqn_0644,quadratic/eqn_0644,3,7,-4,0.4748,-2.8081,3x² + 7x - 4 = 0
eqn_0645,quadratic/eqn_0645,3,-2,-7,1.8968,-1.2301,3x² - 2x - 7 = 0
eqn_0646,quadratic/eqn_0646,5,-3,-3,1.1307,-0.5307,5x² - 3x - 3 = 0
eqn_0647,quadratic/eqn_0647,10,-7,-16,1.6624,-0.9624,10x² - 7x = 16
eqn_0648,quadratic/eqn_0648,1,7,1,-0.1459,-6.8541,x² + 7x + 1 = 0
eqn_0649,quadratic/eqn_0649,13,0,-86,2.572,-2.572,13x² = 86
eqn_0650,quadratic/eqn_0650,10,-25,-10,2.8508,-0.3508,10x² - 25x = 10
eqn_0651,quadratic/eqn_0651,14,71,48,-0.8033,-4.2681,71x + 48 = -14x²
eqn_0652,quadratic/eqn_0652,6,44,59,-1.7664,-5.567,44x + 59 = -6x²
eqn_0653,quadratic/eqn_0653,5,70,71,-1.1008,-12.8992,70x + 71 = -5x²
eqn_0654,quadratic/eqn_0654,17,-16,-81,2.7036,-1.7624,17x² - 16x = 81
eqn_0655,quadratic/eqn_0655,1,2,0,0.0,-2.0,x² + 2x = 0
eqn_0656,quadratic/eqn_0656,1,9,2,-0.228,-8.772,x² + 9x + 2 = 0
eqn_0657,quadratic/eqn_0657,14,17,-41,1.2087,-2.423,14x² + 17x = 41
eqn_0658,quadratic/eqn_0658,1,0,-1,1.0,-1.0,x² - 1 = 0
eqn_0659,quadratic/eqn_0659,10,55,73,-2.2377,-3.2623,55x + 73 = -10x²
eqn_0660,quadratic/eqn_0660,20,18,-61,1.3535,-2.2535,20x² + 18x = 61
eqn_0661,quadratic/eqn_0661,15,39,1,-0.0259,-2.5741,39x + 1 = -15x²
eqn_0662,quadratic/eqn_0662,7,94,-5,0.053,-13.4816,94x - 5 = -7x²
eqn_0663,quadratic/eqn_0663,16,-8,-8,1.0,-0.5, - 8x - 8 = -16x²
eqn_0664,quadratic/eqn_0664,15,-19,-40,2.3848,-1.1182,15x² - 19x = 40
eqn_0665,quadratic/eqn_0665,18,4,-50,1.5593,-1.7815,18x² + 4x = 50
eqn_0666,quadratic/eqn_0666,3,3,-10,1.393,-2.393,3x² + 3x - 10 = 0
eqn_0667,quadratic/eqn_0667,4,7,2,-0.3596,-1.3904,4x² + 7x + 2 = 0
eqn_0668,quadratic/eqn_0668,3,39,63,-1.8902,-11.1098,39x + 63 = -3x²
eqn_0669,quadratic/eqn_0669,13,-23,-1,1.8117,-0.0425,13x² - 23x = 1
eqn_0670,quadratic/eqn_0670,1,8,10,-1.5505,-6.4495,x² + 8x + 10 = 0
eqn_0671,quadratic/eqn_0671,4,5,-1,0.1754,-1.4254,4x² + 5x - 1 = 0
eqn_0672,quadratic/eqn_0672,15,63,-1,0.0158,-4.2158,63x - 1 = -15x²
eqn_0673,quadratic/eqn_0673,13,1,-4,0.5176,-0.5945,13x² + x = 4
eqn_0674,quadratic/eqn_0674,8,52,55,-1.3297,-5.1703,52x + 55 = -8x²
eqn_0675,quadratic/eqn_0675,15,10,-77,1.9567,-2.6234,15x² + 10x = 77
eqn_0676,quadratic/eqn_0676,1,4,-96,12.0,-8.0,(x - 12)(x + 8) = 0
eqn_0677,quadratic/eqn_0677,1,1,-156,13.0,-12.0,(x - 13)(x + 12) = 0
eqn_0678,quadratic/eqn_0678,11,24,-84,1.88,-4.0618,11x² + 24x = 84
eqn_0679,quadratic/eqn_0679,3,51,54,-1.1345,-15.8655,51x + 54 = -3x²
eqn_0680,quadratic/eqn_0680,4,19,17,-1.1958,-3.5542,19x + 17 = -4x²
eqn_0681,quadratic/eqn_0681,20,-2,-52,1.6632,-1.5632,20x² - 2x = 52
eqn_0682,quadratic/eqn_0682,4,-3,-7,1.75,-1.0,4x² - 3x - 7 = 0
eqn_0683,quadratic/eqn_0683,3,80,15,-0.1888,-26.4778,80x + 15 = -3x²
eqn_0684,quadratic/eqn_0684,1,-6,-40,4.0,-10.0,(x - 4)(x + 10) = 0
eqn_0685,quadratic/eqn_0685,3,-1,-9,1.9067,-1.5734,3x² - x - 9 = 0
eqn_0686,quadratic/eqn_0686,1,-34,145,-5.0,-29.0,(x + 5)(x + 29) = 0
eqn_0687,quadratic/eqn_0687,10,-11,-37,2.5506,-1.4506,10x² - 11x = 37
eqn_0688,quadratic/eqn_0688,11,64,10,-0.1607,-5.6575,64x + 10 = -11x²
eqn_0689,quadratic/eqn_0689,1,9,-162,-9.0,18.0,(x + 9)(x - 18) = 0
eqn_0690,quadratic/eqn_0690,16,8,-65,1.781,-2.281,16x² + 8x = 65
eqn_0691,quadratic/eqn_0691,1,-21,-396,12.0,-33.0,(x - 12)(x + 33) = 0
eqn_0692,quadratic/eqn_0692,12,-6,-25,1.7149,-1.2149,12x² - 6x = 25
eqn_0693,quadratic/eqn_0693,6,65,46,-0.7612,-10.0722,65x + 46 = -6x²
eqn_0694,quadratic/eqn_0694,5,70,38,-0.5657,-13.4343,70x + 38 = -5x²
eqn_0695,quadratic/eqn_0695,1,-12,-13,1.0,-13.0,(x - 1)(x + 13) = 0
eqn_0696,quadratic/eqn_0696,1,38,325,13.0,25.0,(x - 13)(x - 25) = 0
eqn_0697,quadratic/eqn_0697,16,-7,-1,0.5509,-0.1134, - 7x - 1 = -16x²
eqn_0698,quadratic/eqn_0698,12,6,-26,1.243,-1.743,12x² + 6x = 26
eqn_0699,quadratic/eqn_0699,14,1,0,0.0,-0.0714,14x² + x = 0
eqn_0700,quadratic/eqn_0700,14,18,-49,1.3353,-2.6211,14x² + 18x = 49
eqn_0701,quadratic/eqn_0701,2,-1,-8,2.2656,-1.7656,2x² - x - 8 = 0
eqn_0702,quadratic/eqn_0702,3,1,-5,1.135,-1.4684,3x² + x - 5 = 0
eqn_0703,quadratic/eqn_0703,13,74,55,-0.879,-4.8133,74x + 55 = -13x²
eqn_0704,quadratic/eqn_0704,3,56,54,-1.02,-17.6466,56x + 54 = -3x²
eqn_0705,quadratic/eqn_0705,14,-9,-65,2.5,-1.8571,14x² - 9x = 65
eqn_0706,quadratic/eqn_0706,3,2,-10,1.5226,-2.1893,3x² + 2x - 10 = 0
eqn_0707,quadratic/eqn_0707,7,81,67,-0.8966,-10.6748,81x + 67 = -7x²
eqn_0708,quadratic/eqn_0708,1,5,-266,-14.0,19.0,(x + 14)(x - 19) = 0
eqn_0709,quadratic/eqn_0709,5,78,29,-0.3811,-15.2189,78x + 29 = -5x²
eqn_0710,quadratic/eqn_0710,5,96,6,-0.0627,-19.1373,96x + 6 = -5x²
eqn_0711,quadratic/eqn_0711,1,3,-4,4.0,-1.0,(x - 4)(x + 1) = 0
eqn_0712,quadratic/eqn_0712,1,26,105,5.0,21.0,(x - 5)(x - 21) = 0
eqn_0713,quadratic/eqn_0713,1,-14,48,-6.0,-8.0,(x + 6)(x + 8) = 0
eqn_0714,quadratic/eqn_0714,14,1,-1,0.2339,-0.3054,x - 1 = -14x²
eqn_0715,quadratic/eqn_0715,13,-4,-77,2.5924,-2.2847,13x² - 4x = 77
eqn_0716,quadratic/eqn_0716,14,94,0,0.0,-6.7143,94x = -14x²
eqn_0717,quadratic/eqn_0717,10,88,1,-0.0114,-8.7886,88x + 1 = -10x²
eqn_0718,quadratic/eqn_0718,13,16,-44,1.3245,-2.5553,13x² + 16x = 44
eqn_0719,quadratic/eqn_0719,13,23,3,-0.1418,-1.6274,13x² + 23x = -3
eqn_0720,quadratic/eqn_0720,6,65,-8,0.1217,-10.955,65x - 8 = -6x²
eqn_0721,quadratic/eqn_0721,3,1,-10,1.6667,-2.0,3x² + x - 10 = 0
eqn_0722,quadratic/eqn_0722,14,-1,-68,2.2399,-2.1685,14x² - x = 68
eqn_0723,quadratic/eqn_0723,1,9,20,4.0,5.0,(x - 4)(x - 5) = 0
eqn_0724,quadratic/eqn_0724,3,9,-2,0.2078,-3.2078,3x² + 9x - 2 = 0
eqn_0725,quadratic/eqn_0725,1,5,3,-0.6972,-4.3028,x² + 5x + 3 = 0
eqn_0726,quadratic/eqn_0726,3,8,-8,0.7749,-3.4415,3x² + 8x - 8 = 0
eqn_0727,quadratic/eqn_0727,1,14,24,12.0,2.0,(x - 12)(x - 2) = 0
eqn_0728,quadratic/eqn_0728,1,8,-4,0.4721,-8.4721,x² + 8x - 4 = 0
eqn_0729,quadratic/eqn_0729,13,0,-66,2.2532,-2.2532,13x² = 66
eqn_0730,quadratic/eqn_0730,4,53,26,-0.5102,-12.7398,53x + 26 = -4x²
eqn_0731,quadratic/eqn_0731,1,9,-136,-8.0,17.0,(x + 8)(x - 17) = 0
eqn_0732,quadratic/eqn_0732,10,73,6,-0.0831,-7.2169,73x + 6 = -10x²
eqn_0733,quadratic/eqn_0733,4,76,-7,0.0917,-19.0917,76x - 7 = -4x²
eqn_0734,quadratic/eqn_0734,9,24,1,-0.0423,-2.6243,24x + 1 = -9x²
eqn_0735,quadratic/eqn_0735,1,-4,-77,7.0,-11.0,(x - 7)(x + 11) = 0
eqn_0736,quadratic/eqn_0736,14,7,-79,2.1386,-2.6386,14x² + 7x = 79
eqn_0737,quadratic/eqn_0737,5,7,-3,0.344,-1.744,5x² + 7x - 3 = 0
eqn_0738,quadratic/eqn_0738,1,19,-150,25.0,-6.0,(x - 25)(x + 6) = 0
eqn_0739,quadratic/eqn_0739,3,-1,0,0.3333,0.0,3x² - x = 0
eqn_0740,quadratic/eqn_0740,3,9,-3,0.3028,-3.3028,3x² + 9x - 3 = 0
eqn_0741,quadratic/eqn_0741,16,33,-2,0.0589,-2.1214,33x - 2 = -16x²
eqn_0742,quadratic/eqn_0742,5,10,-4,0.3416,-2.3416,5x² + 10x - 4 = 0
eqn_0743,quadratic/eqn_0743,1,14,-176,22.0,-8.0,(x - 22)(x + 8) = 0
eqn_0744,quadratic/eqn_0744,1,14,-240,24.0,-10.0,(x - 24)(x + 10) = 0
eqn_0745,quadratic/eqn_0745,1,7,-4,0.5311,-7.5311,x² + 7x - 4 = 0
eqn_0746,quadratic/eqn_0746,5,94,0,0.0,-18.8,94x = -5x²
eqn_0747,quadratic/eqn_0747,5,2,-9,1.1565,-1.5565,5x² + 2x - 9 = 0
eqn_0748,quadratic/eqn_0748,2,6,-10,1.1926,-4.1926,2x² + 6x - 10 = 0
eqn_0749,quadratic/eqn_0749,14,33,-5,0.1429,-2.5,33x - 5 = -14x²
eqn_0750,quadratic/eqn_0750,5,0,-2,0.6325,-0.6325,5x² - 2 = 0
eqn_0751,quadratic/eqn_0751,1,1,-462,22.0,-21.0,(x - 22)(x + 21) = 0
eqn_0752,quadratic/eqn_0752,1,-1,-132,-12.0,11.0,(x + 12)(x - 11) = 0
eqn_0753,quadratic/eqn_0753,9,76,49,-0.7033,-7.7411,76x + 49 = -9x²
eqn_0754,quadratic/eqn_0754,20,12,-92,1.8656,-2.4656,20x² + 12x = 92
eqn_0755,quadratic/eqn_0755,1,2,-15,5.0,-3.0,(x - 5)(x + 3) = 0
eqn_0756,quadratic/eqn_0756,14,21,-26,0.8055,-2.3055,14x² + 21x = 26
eqn_0757,quadratic/eqn_0757,4,9,1,-0.1172,-2.1328,4x² + 9x + 1 = 0
eqn_0758,quadratic/eqn_0758,5,6,-1,0.1483,-1.3483,5x² + 6x - 1 = 0
eqn_0759,quadratic/eqn_0759,12,53,20,-0.4167,-4.0,53x + 20 = -12x²
eqn_0760,quadratic/eqn_0760,1,-26,25,-1.0,-25.0,(x + 1)(x + 25) = 0
eqn_0761,quadratic/eqn_0761,1,8,-2,0.2426,-8.2426,x² + 8x - 2 = 0
eqn_0762,quadratic/eqn_0762,5,87,62,-0.7445,-16.6555,87x + 62 = -5x²
eqn_0763,quadratic/eqn_0763,1,-17,72,-9.0,-8.0,(x + 9)(x + 8) = 0
eqn_0764,quadratic/eqn_0764,4,-2,-8,1.6861,-1.1861,4x² - 2x - 8 = 0
eqn_0765,quadratic/eqn_0765,4,2,-4,0.7808,-1.2808,4x² + 2x - 4 = 0
eqn_0766,quadratic/eqn_0766,15,-10,-49,2.1712,-1.5045,15x² - 10x = 49
eqn_0767,quadratic/eqn_0767,5,15,-9,0.5125,-3.5125,15x - 9 = -5x²
eqn_0768,quadratic/eqn_0768,12,70,46,-0.7548,-5.0785,70x + 46 = -12x²
eqn_0769,quadratic/eqn_0769,4,6,-1,0.1514,-1.6514,4x² + 6x - 1 = 0
eqn_0770,quadratic/eqn_0770,9,59,48,-0.9517,-5.6038,59x + 48 = -9x²
eqn_0771,quadratic/eqn_0771,2,5,0,0.0,-2.5,2x² + 5x = 0
eqn_0772,quadratic/eqn_0772,20,22,-44,1.0319,-2.1319,20x² + 22x = 44
eqn_0773,quadratic/eqn_0773,1,26,25,1.0,25.0,(x - 1)(x - 25) = 0
eqn_0774,quadratic/eqn_0774,4,75,61,-0.8521,-17.8979,75x + 61 = -4x²
eqn_0775,quadratic/eqn_0775,1,7,9,-1.6972,-5.3028,x² + 7x + 9 = 0
eqn_0776,quadratic/eqn_0776,1,-16,64,-8.0,-8.0,(x + 8)(x + 8) = 0
eqn_0777,quadratic/eqn_0777,5,10,0,0.0,-2.0,5x² + 10x = 0
eqn_0778,quadratic/eqn_0778,1,11,-26,13.0,-2.0,(x - 13)(x + 2) = 0
eqn_0779,quadratic/eqn_0779,12,68,58,-1.046,-4.6206,68x + 58 = -12x²
eqn_0780,quadratic/eqn_0780,12,53,45,-1.1469,-3.2698,53x + 45 = -12x²
eqn_0781,quadratic/eqn_0781,1,7,-98,14.0,-7.0,(x - 14)(x + 7) = 0
eqn_0782,quadratic/eqn_0782,14,69,36,-0.5931,-4.3355,69x + 36 = -14x²
eqn_0783,quadratic/eqn_0783,2,10,4,-0.4384,-4.5616,2x² + 10x + 4 = 0
eqn_0784,quadratic/eqn_0784,2,1,-5,1.3508,-1.8508,2x² + x - 5 = 0
eqn_0785,quadratic/eqn_0785,1,-32,-105,3.0,-35.0,(x - 3)(x + 35) = 0
eqn_0786,quadratic/eqn_0786,15,-4,-2,0.5221,-0.2554, - 4x - 2 = -15x²
eqn_0787,quadratic/eqn_0787,2,7,5,-1.0,-2.5,2x² + 7x + 5 = 0
eqn_0788,quadratic/eqn_0788,19,13,-47,1.2675,-1.9517,19x² + 13x = 47
eqn_0789,quadratic/eqn_0789,17,-25,-51,2.617,-1.1464,17x² - 25x = 51
eqn_0790,quadratic/eqn_0790,12,5,-34,1.4878,-1.9044,12x² + 5x = 34
eqn_0791,quadratic/eqn_0791,13,12,-47,1.4951,-2.4182,13x² + 12x = 47
eqn_0792,quadratic/eqn_0792,12,62,59,-1.2578,-3.9088,62x + 59 = -12x²
eqn_0793,quadratic/eqn_0793,20,-7,-87,2.268,-1.918,20x² - 7x = 87
eqn_0794,quadratic/eqn_0794,18,-20,-38,2.1111,-1.0,18x² - 20x = 38
eqn_0795,quadratic/eqn_0795,1,4,-10,1.7417,-5.7417,x² + 4x - 10 = 0
eqn_0796,quadratic/eqn_0796,16,5,-95,2.2855,-2.598,16x² + 5x = 95
eqn_0797,quadratic/eqn_0797,17,16,-97,1.964,-2.9052,17x² + 16x = 97
eqn_0798,quadratic/eqn_0798,3,6,-7,0.8257,-2.8257,3x² + 6x - 7 = 0
eqn_0799,quadratic/eqn_0799,1,30,200,10.0,20.0,(x - 10)(x - 20) = 0
eqn_0800,quadratic/eqn_0800,15,18,-25,0.8236,-2.0236,15x² + 18x = 25
eqn_0801,quadratic/eqn_0801,3,3,-7,1.1073,-2.1073,3x² + 3x - 7 = 0
eqn_0802,quadratic/eqn_0802,1,7,-6,0.772,-7.772,x² + 7x - 6 = 0
eqn_0803,quadratic/eqn_0803,4,59,32,-0.5639,-14.1861,59x + 32 = -4x²
eqn_0804,quadratic/eqn_0804,7,49,-7,0.1401,-7.1401,49x - 7 = -7x²
eqn_0805,quadratic/eqn_0805,4,4,-8,1.0,-2.0,4x² + 4x - 8 = 0
eqn_0806,quadratic/eqn_0806,11,-14,-64,3.131,-1.8583,11x² - 14x = 64
eqn_0807,quadratic/eqn_0807,4,61,37,-0.6328,-14.6172,61x + 37 = -4x²
eqn_0808,quadratic/eqn_0808,5,1,-1,0.3583,-0.5583,5x² + x - 1 = 0
eqn_0809,quadratic/eqn_0809,12,83,42,-0.5497,-6.367,83x + 42 = -12x²
eqn_0810,quadratic/eqn_0810,11,-23,-75,3.8581,-1.7672,11x² - 23x = 75
eqn_0811,quadratic/eqn_0811,3,62,59,-1.0,-19.6667,62x + 59 = -3x²
eqn_0812,quadratic/eqn_0812,13,1,-66,2.2151,-2.292,13x² + x = 66
eqn_0813,quadratic/eqn_0813,8,49,27,-0.6122,-5.5128,49x + 27 = -8x²
eqn_0814,quadratic/eqn_0814,13,82,-2,0.0243,-6.332,82x - 2 = -13x²
eqn_0815,quadratic/eqn_0815,11,15,-7,0.3676,-1.7312,15x - 7 = -11x²
eqn_0816,quadratic/eqn_0816,8,87,9,-0.1045,-10.7705,87x + 9 = -8x²
eqn_0817,quadratic/eqn_0817,4,3,-3,0.5687,-1.3187,4x² + 3x - 3 = 0
eqn_0818,quadratic/eqn_0818,5,8,-7,0.6283,-2.2283,5x² + 8x - 7 = 0
eqn_0819,quadratic/eqn_0819,11,1,-81,2.6685,-2.7594,11x² + x = 81
eqn_0820,quadratic/eqn_0820,4,19,3,-0.1635,-4.5865,19x + 3 = -4x²
eqn_0821,quadratic/eqn_0821,1,9,13,-1.8074,-7.1926,x² + 9x + 13 = 0
eqn_0822,quadratic/eqn_0822,1,-17,-168,7.0,-24.0,(x - 7)(x + 24) = 0
eqn_0823,quadratic/eqn_0823,16,7,-33,1.234,-1.6715,16x² + 7x = 33
eqn_0824,quadratic/eqn_0824,12,67,30,-0.4909,-5.0924,67x + 30 = -12x²
eqn_0825,quadratic/eqn_0825,3,48,18,-0.3842,-15.6158,48x + 18 = -3x²
eqn_0826,quadratic/eqn_0826,1,21,-46,-2.0,23.0,(x + 2)(x - 23) = 0
eqn_0827,quadratic/eqn_0827,14,42,-9,0.2008,-3.2008,42x - 9 = -14x²
eqn_0828,quadratic/eqn_0828,19,19,-43,1.0853,-2.0853,19x² + 19x = 43
eqn_0829,quadratic/eqn_0829,2,2,-7,1.4365,-2.4365,2x² + 2x - 7 = 0
eqn_0830,quadratic/eqn_0830,1,-9,-52,-13.0,4.0,(x + 13)(x - 4) = 0
eqn_0831,quadratic/eqn_0831,14,77,35,-0.5,-5.0,77x + 35 = -14x²
eqn_0832,quadratic/eqn_0832,2,4,0,0.0,-2.0,2x² + 4x = 0
eqn_0833,quadratic/eqn_0833,7,85,30,-0.3638,-11.779,85x + 30 = -7x²
eqn_0834,quadratic/eqn_0834,1,-4,-5,1.0,-5.0,(x - 1)(x + 5) = 0
eqn_0835,quadratic/eqn_0835,15,24,-81,1.6576,-3.2576,15x² + 24x = 81
eqn_0836,quadratic/eqn_0836,1,32,207,23.0,9.0,(x - 23)(x - 9) = 0
eqn_0837,quadratic/eqn_0837,2,1,-8,1.7656,-2.2656,2x² + x - 8 = 0
eqn_0838,quadratic/eqn_0838,1,29,120,5.0,24.0,(x - 5)(x - 24) = 0
eqn_0839,quadratic/eqn_0839,1,49,600,24.0,25.0,(x - 24)(x - 25) = 0
eqn_0840,quadratic/eqn_0840,13,2,-29,1.4186,-1.5725,13x² + 2x = 29
eqn_0841,quadratic/eqn_0841,1,6,-216,18.0,-12.0,(x - 18)(x + 12) = 0
eqn_0842,quadratic/eqn_0842,14,2,-68,2.1336,-2.2765,14x² + 2x = 68
eqn_0843,quadratic/eqn_0843,1,-4,-396,18.0,-22.0,(x - 18)(x + 22) = 0
eqn_0844,quadratic/eqn_0844,3,92,18,-0.1969,-30.4698,92x + 18 = -3x²
